First_Name,DOI,Researcher ID,Annee_Bibliographique,Year of first pub,gender,Paper ID,Author order,nb_auteur,Discipline of paper,Specialty of paper,Relative citation rate,ERegroupement,disc_origin,spec_origin,Country of origin
xianchao,10.1109/tmm.2015.2487863,24286049,2015,2006,M,55807245,4,5,Engineering and Technology,Electrical Engineering & Electronics,1.128,China,Engineering and Technology,Computers,nan
xinyue,10.1016/j.neucom.2016.11.013,42212580,2017,2017,F,59670837,5,6,Clinical Medicine,Neurology & Neurosurgery,1.084,China,Clinical Medicine,Neurology & Neurosurgery,China
wenxin,10.1016/j.neucom.2016.11.013,38466016,2017,2013,M,59670837,6,6,Clinical Medicine,Neurology & Neurosurgery,1.084,China,Engineering and Technology,Computers,China
wenxin,10.1145/2846102,38466016,2016,2013,M,56677860,4,4,Engineering and Technology,Computers,0.227,China,Engineering and Technology,Computers,China
fenglong,10.1016/j.neucom.2016.11.013,39594377,2017,2017,M,59670837,2,6,Clinical Medicine,Neurology & Neurosurgery,1.084,United States,Clinical Medicine,Neurology & Neurosurgery,United States
arkadiusz,10.3389/fpsyg.2017.00172,43499240,2017,2017,M,59786821,2,2,Psychology,General Psychology,0.523,Poland,Psychology,General Psychology,Poland
david,10.1186/s12911-017-0411-y,32837889,2017,2014,M,60147052,1,2,Engineering and Technology,Computers,0.683,United States,Health,Public Health,United States
tony,10.1186/s12911-017-0411-y,20753839,2017,2017,M,60147052,2,2,Engineering and Technology,Computers,0.683,Spain,Biomedical Research,Biochemistry & Molecular Biology,Spain
soundar,10.1016/j.jbi.2016.12.007,33772609,2017,1986,UNK,61287238,3,3,Biomedical Research,Biochemistry & Molecular Biology,1.153,United States,Engineering and Technology,Industrial Engineering,nan
shubhadeep,10.1108/imds-06-2016-0207,21989553,2017,2017,UNK,61113481,1,2,Engineering and Technology,Industrial Engineering,0.0,India,Professional Fields,Management,India
pradip kumar,10.1108/imds-06-2016-0207,36593668,2017,2010,M,61113481,2,2,Engineering and Technology,Industrial Engineering,0.0,India,Professional Fields,Management,India
alket,10.1007/s12652-016-0354-7,11824667,2017,2016,UNK,60245544,1,2,Engineering and Technology,Computers,1.025,Italy,Engineering and Technology,Computers,Italy
marco,10.1007/s12652-016-0354-7,3487639,2017,2003,M,60245544,2,2,Engineering and Technology,Computers,1.025,Italy,Engineering and Technology,Computers,nan
eman,10.1093/intqhc/mzw137,27314591,2017,2017,F,60216309,1,6,Health,Health Policy & Services,0.0,Saudi Arabia,Health,Health Policy & Services,Saudi Arabia
mohamed,10.1093/intqhc/mzw137,29557602,2017,2016,M,60216309,2,6,Health,Health Policy & Services,0.0,Saudi Arabia,Professional Fields,Information Science & Library Science,Saudi Arabia
syed-abdul,10.1093/intqhc/mzw137,22950103,2017,2017,nan,60216309,3,6,Health,Health Policy & Services,0.0,Taiwan,Health,Health Policy & Services,Taiwan
usman,10.1093/intqhc/mzw137,42877046,2017,2013,M,60216309,5,6,Health,Health Policy & Services,0.0,Taiwan,Clinical Medicine,Respiratory System,Taiwan
md nassif,10.1093/intqhc/mzw137,23078343,2017,2017,UNK,60216309,4,6,Health,Health Policy & Services,0.0,Australia,Health,Health Policy & Services,Australia
tore rye,10.1177/1354856516675256,1617574,2017,2017,M,60192928,1,1,Professional Fields,Communication,0.668,Denmark,Professional Fields,Communication,Denmark
xuejun,10.1142/s0217595917400115,8035294,2017,2016,M,59955378,1,2,Professional Fields,Management,0.0,China,Engineering and Technology,Industrial Engineering,China
yong,10.1142/s0217595917400115,20471540,2017,2011,M,59955378,2,2,Professional Fields,Management,0.0,China,Engineering and Technology,Electrical Engineering & Electronics,China
fernando,10.12973/eurasia.2017.00619a,47058945,2017,2017,M,60090753,1,2,Professional Fields,Education,0.0,Mexico,Professional Fields,Education,Mexico
salvador,10.12973/eurasia.2017.00619a,1001775,2017,2017,M,60090753,2,2,Professional Fields,Education,0.0,United States,Professional Fields,Education,United States
roberta,10.1016/j.geoforum.2016.06.019,13526180,2017,2009,F,59902397,1,2,Social Sciences,Geography,1.306,Canada,Social Sciences,Miscellaneous Social Sciences,United States
jennifer j.,10.1016/j.geoforum.2016.06.019,40094022,2017,2005,F,59902397,2,2,Social Sciences,Geography,1.306,Canada,Earth and Space,Oceanography & Limnology,nan
elizabeth,10.1016/j.geoforum.2016.04.009,660433,2017,2008,F,59902399,1,1,Social Sciences,Geography,4.353,Canada,Social Sciences,Geography,nan
ingrid l.,10.1016/j.geoforum.2016.02.007,43713801,2017,2013,F,59902400,1,1,Social Sciences,Geography,0.871,United States,Social Sciences,Economics,United States
marta,10.1515/humor-2016-0086,28627128,2017,2017,F,59871571,1,1,Psychology,Miscellaneous Psychology,0.0,Spain,Psychology,Miscellaneous Psychology,Spain
mengjun,10.1016/j.imavis.2016.06.005,22563899,2017,2017,M,60001233,1,3,Engineering and Technology,Computers,0.342,United States,Engineering and Technology,Computers,United States
panagiotis,10.1016/j.imavis.2016.06.005,51536835,2017,2015,M,60001233,2,3,Engineering and Technology,Computers,0.342,United States,Engineering and Technology,Computers,United States
ioannis a.,10.1016/j.imavis.2016.06.005,17288986,2017,1997,M,60001233,3,3,Engineering and Technology,Computers,0.342,United States,Engineering and Technology,Computers,nan
qinghua,10.3390/ijgi6020042,48279823,2017,2016,M,59965267,2,3,Earth and Space,Geology,2.235,United States,Engineering and Technology,Electrical Engineering & Electronics,United States
amy,10.1111/jep.12678,46418812,2017,2015,F,59931989,1,6,Clinical Medicine,General & Internal Medicine,1.057,United Kingdom,Clinical Medicine,General & Internal Medicine,United Kingdom
su may,10.1111/jep.12678,40385870,2017,2008,F,59931989,2,6,Clinical Medicine,General & Internal Medicine,1.057,Malaysia,Clinical Medicine,Cardiovascular System,Malaysia
jo,10.1111/jep.12678,37026687,2017,2017,F,59931989,3,6,Clinical Medicine,General & Internal Medicine,1.057,United Kingdom,Clinical Medicine,General & Internal Medicine,United Kingdom
jazmin,10.1111/jep.12678,7576258,2017,2017,F,59931989,4,6,Clinical Medicine,General & Internal Medicine,1.057,United Kingdom,Clinical Medicine,General & Internal Medicine,United Kingdom
taylor,10.1111/jep.12678,23071124,2017,2017,UNI,59931989,5,6,Clinical Medicine,General & Internal Medicine,1.057,United Kingdom,Clinical Medicine,General & Internal Medicine,United Kingdom
yasmin,10.1111/jep.12678,18850897,2017,2017,F,59931989,6,6,Clinical Medicine,General & Internal Medicine,1.057,United Kingdom,Clinical Medicine,General & Internal Medicine,United Kingdom
mohammadsadegh,10.1177/0165551515618589,10176868,2017,2016,UNK,59906375,1,5,Professional Fields,Information Science & Library Science,0.589,Iran,Psychology,Human Factors,Iran
mohammadsadegh,10.1016/j.chb.2015.11.038,10176868,2016,2016,UNK,56316339,2,4,Psychology,Human Factors,0.194,Iran,Psychology,Human Factors,Iran
abolfazl,10.1177/0165551515618589,8809787,2017,2009,UNK,59906375,2,5,Professional Fields,Information Science & Library Science,0.589,Iran,Engineering and Technology,Computers,Iran
maseud,10.1177/0165551515618589,32619992,2017,2003,UNK,59906375,3,5,Professional Fields,Information Science & Library Science,0.589,Iran,Engineering and Technology,Computers,nan
maseud,10.1016/j.chb.2015.11.038,32619992,2016,2003,UNK,56316339,3,4,Psychology,Human Factors,0.194,Iran,Engineering and Technology,Computers,nan
farhad,10.1177/0165551515618589,24491056,2017,2005,M,59906375,4,5,Professional Fields,Information Science & Library Science,0.589,United Arab Emirates,Engineering and Technology,Computers,nan
arastoo,10.1177/0165551515618589,33172699,2017,2017,UNK,59906375,5,5,Professional Fields,Information Science & Library Science,0.589,Canada,Professional Fields,Information Science & Library Science,Canada
alessandro,10.1016/j.jlamp.2016.11.003,42517568,2017,2017,M,59952449,1,4,Engineering and Technology,Computers,0.683,Italy,Engineering and Technology,Computers,Italy
angelo,10.1016/j.jlamp.2016.11.003,44714976,2017,2009,M,59952449,3,4,Engineering and Technology,Computers,0.683,Denmark,Engineering and Technology,Electrical Engineering & Electronics,France
angelo,10.1016/j.dss.2015.09.003,44714976,2015,2009,M,55969287,4,5,Professional Fields,Management,2.289,Italy,Engineering and Technology,Electrical Engineering & Electronics,France
francesco,10.1016/j.jlamp.2016.11.003,49997271,2017,2006,M,59952449,4,4,Engineering and Technology,Computers,0.683,Italy,Engineering and Technology,Computers,nan
elaine w.,10.1017/s0047404516000828,38949732,2017,2009,F,60057585,1,1,Humanities,Language & Linguistics,5.697,United States,Humanities,Language & Linguistics,nan
matteo,10.1016/j.pmcj.2016.07.001,51108197,2017,2017,M,59853437,1,4,Engineering and Technology,Computers,1.367,France,Engineering and Technology,Computers,France
giovanni,10.1016/j.pmcj.2016.07.001,18209665,2017,2001,M,59853437,3,4,Engineering and Technology,Computers,1.367,France,Engineering and Technology,Electrical Engineering & Electronics,nan
giovanni,10.1007/s11036-016-0725-5,18209665,2016,2001,M,57522145,3,6,Engineering and Technology,Electrical Engineering & Electronics,0.969,France,Engineering and Technology,Electrical Engineering & Electronics,nan
rita,10.1016/j.pmcj.2016.07.001,7826992,2017,2016,F,59853437,2,4,Engineering and Technology,Computers,1.367,China,Engineering and Technology,Electrical Engineering & Electronics,China
rita,10.1007/s11036-016-0725-5,7826992,2016,2016,F,57522145,1,6,Engineering and Technology,Electrical Engineering & Electronics,0.969,China,Engineering and Technology,Electrical Engineering & Electronics,China
david,10.1080/03007766.2016.1237237,32818312,2017,2011,M,59937356,1,1,Arts,Performing Arts,0.0,United States,Social Sciences,Area Studies,nan
nahia idoiaga,10.1177/1075547016688908,43302070,2017,2017,UNK,59959399,1,3,Social Sciences,Science studies,0.869,Spain,Social Sciences,Science studies,Spain
lorena,10.1177/1075547016688908,10356700,2017,2003,F,59959399,2,3,Social Sciences,Science studies,0.869,Spain,Psychology,Social Psychology,nan
jose,10.1177/1075547016688908,40518189,2017,2017,M,59959399,3,3,Social Sciences,Science studies,0.869,Spain,Social Sciences,Science studies,Spain
jeffrey,10.1177/0731121415596082,2659263,2017,2014,M,59912795,1,1,Social Sciences,Sociology,0.785,United States,Social Sciences,Sociology,nan
meei-ling,10.1016/j.system.2016.12.005,3772440,2017,2001,F,60002058,1,2,Professional Fields,Education,1.405,Taiwan,Professional Fields,Education,nan
kathryn,10.1016/j.system.2016.12.005,31122447,2017,2017,F,60002058,2,2,Professional Fields,Education,1.405,France,Professional Fields,Education,France
mohammad a. a.,10.1016/j.jcjd.2016.08.217,34427419,2017,2017,M,60082463,3,7,Clinical Medicine,Endocrinology,1.846,Canada,Clinical Medicine,Endocrinology,Canada
syed walid,10.1016/j.jcjd.2016.08.217,47170814,2017,2015,M,60082463,4,7,Clinical Medicine,Endocrinology,1.846,Canada,Clinical Medicine,Endocrinology,Canada
syed walid,10.1016/j.diabres.2015.08.003,47170814,2015,2015,M,55788765,4,7,Clinical Medicine,Endocrinology,0.318,Canada,Clinical Medicine,Endocrinology,Canada
nahid,10.1016/j.jcjd.2016.08.217,38950656,2017,2006,F,60082463,6,7,Clinical Medicine,Endocrinology,1.846,Canada,Clinical Medicine,Cardiovascular System,nan
nahid,10.1016/j.diabres.2015.08.003,38950656,2015,2006,F,55788765,6,7,Clinical Medicine,Endocrinology,0.318,Canada,Clinical Medicine,Cardiovascular System,nan
enaitz,10.1093/jigpal/jzw040,46525639,2017,2017,nan,60105441,1,3,Mathematics,General Mathematics,0.0,Spain,Mathematics,General Mathematics,Spain
urko,10.1093/jigpal/jzw040,8064758,2017,2012,UNK,60105441,2,3,Mathematics,General Mathematics,0.0,Spain,Clinical Medicine,Neurology & Neurosurgery,Spain
jose maria,10.1093/jigpal/jzw040,30514705,2017,1999,M,60105441,3,3,Mathematics,General Mathematics,0.0,Spain,Engineering and Technology,Computers,nan
devon,10.1177/1461444815600280,35029336,2017,2009,UNI,60084027,1,1,Professional Fields,Communication,0.668,United States,Professional Fields,Communication,nan
rik,10.1177/1461444815604618,22500982,2017,2017,M,60084034,1,3,Professional Fields,Communication,2.003,Netherlands,Professional Fields,Communication,Netherlands
ansgard,10.1177/1461444815604618,39330746,2017,2012,nan,60084034,2,3,Professional Fields,Communication,2.003,Netherlands,Professional Fields,Communication,Netherlands
marcel,10.1177/1461444815604618,26060133,2017,2010,M,60084034,3,3,Professional Fields,Communication,2.003,Netherlands,Professional Fields,Communication,nan
marcel,10.1177/1461444814546728,26060133,2016,2010,M,56897686,3,3,Professional Fields,Communication,11.688,Netherlands,Professional Fields,Communication,nan
marcel,10.1080/1369118x.2013.785581,26060133,2013,2010,M,50591421,2,4,Social Sciences,Sociology,10.205,Netherlands,Professional Fields,Communication,nan
zhibo,10.1186/s13638-016-0745-7,20296405,2016,2016,M,59270063,1,6,Engineering and Technology,Electrical Engineering & Electronics,0.388,China,Engineering and Technology,Electrical Engineering & Electronics,China
zhibo,10.1007/s00779-015-0877-5,20286801,2015,2015,M,55456718,3,8,Engineering and Technology,Computers,0.652,China,Engineering and Technology,Computers,China
lei,10.1186/s13638-016-0745-7,4737579,2016,2016,M,59270063,5,6,Engineering and Technology,Electrical Engineering & Electronics,0.388,China,Engineering and Technology,Electrical Engineering & Electronics,China
qi,10.1186/s13638-016-0745-7,32601553,2016,2016,M,59270063,4,6,Engineering and Technology,Electrical Engineering & Electronics,0.388,China,Engineering and Technology,Electrical Engineering & Electronics,China
lu,10.1186/s13638-016-0745-7,49100646,2016,2016,F,59270063,3,6,Engineering and Technology,Electrical Engineering & Electronics,0.388,China,Engineering and Technology,Electrical Engineering & Electronics,China
dominique m.,10.1016/j.intmar.2016.08.001,39427267,2017,1980,UNI,59874022,2,2,Professional Fields,Management,2.662,United States,Professional Fields,Management,nan
daniel,10.1016/j.intmar.2016.06.004,23956601,2017,2012,M,59874023,1,3,Professional Fields,Management,3.423,Spain,Professional Fields,Management,Spain
carlos,10.1016/j.intmar.2016.06.004,4134145,2017,2005,M,59874023,2,3,Professional Fields,Management,3.423,Spain,Engineering and Technology,Electrical Engineering & Electronics,nan
alfredo,10.1016/j.intmar.2016.06.004,4643069,2017,2015,M,59874023,3,3,Professional Fields,Management,3.423,Spain,Professional Fields,Law,Spain
kai,10.1007/s11069-015-1918-0,46103654,2015,2015,M,55778167,3,3,Earth and Space,Environmental Science,1.227,United States,Earth and Space,Environmental Science,United States
kechen,10.1007/s11042-016-3818-z,11555068,2017,2017,M,60022519,1,3,Engineering and Technology,Electrical Engineering & Electronics,0.917,China,Engineering and Technology,Electrical Engineering & Electronics,China
haibo,10.1007/s11042-016-3818-z,50434644,2017,2017,M,60022519,2,3,Engineering and Technology,Electrical Engineering & Electronics,0.917,China,Engineering and Technology,Electrical Engineering & Electronics,China
hong,10.1007/s11042-016-3818-z,6034740,2017,2017,M,60022519,3,3,Engineering and Technology,Electrical Engineering & Electronics,0.917,China,Engineering and Technology,Electrical Engineering & Electronics,China
hong,10.1007/s11042-016-3294-5,5966671,2016,2015,M,57575711,1,5,Engineering and Technology,Electrical Engineering & Electronics,0.582,China,Engineering and Technology,Electrical Engineering & Electronics,China
hong,10.1007/s11042-014-1970-x,5966671,2015,2015,M,54066902,1,2,Engineering and Technology,Electrical Engineering & Electronics,0.141,China,Engineering and Technology,Electrical Engineering & Electronics,China
rodrigo augusto,10.1007/s11042-016-3899-8,16531581,2017,2016,M,60022521,2,3,Engineering and Technology,Electrical Engineering & Electronics,1.528,Brazil,Engineering and Technology,Computers,Brazil
rodrigo augusto,10.1016/j.ins.2015.10.039,16531581,2016,2016,M,55976167,1,7,Engineering and Technology,Computers,1.134,Brazil,Engineering and Technology,Computers,Brazil
bruno bogaz,10.1007/s11042-016-3899-8,4549310,2017,2007,M,60022521,3,3,Engineering and Technology,Electrical Engineering & Electronics,1.528,Brazil,Engineering and Technology,Electrical Engineering & Electronics,nan
asier,10.1109/te.2016.2576424,5783872,2017,2011,M,60046156,1,4,Engineering and Technology,Electrical Engineering & Electronics,0.0,Spain,Engineering and Technology,Computers,Spain
oscar,10.1109/te.2016.2576424,18781025,2017,2014,M,60046156,2,4,Engineering and Technology,Electrical Engineering & Electronics,0.0,Spain,Engineering and Technology,Computers,Spain
maria teresa,10.1109/te.2016.2576424,46525448,2017,2017,F,60046156,3,4,Engineering and Technology,Electrical Engineering & Electronics,0.0,Spain,Engineering and Technology,Electrical Engineering & Electronics,Spain
maria luisa,10.1109/te.2016.2576424,46525447,2017,2011,F,60046156,4,4,Engineering and Technology,Electrical Engineering & Electronics,0.0,Spain,Professional Fields,Education,Spain
zhiwu,10.1109/tpami.2016.2552172,41959356,2017,2005,M,59972405,1,6,Engineering and Technology,Computers,4.441,China,Engineering and Technology,Computers,nan
zhiwu,10.1016/j.patcog.2012.09.027,41959356,2013,2005,M,50347840,1,2,Engineering and Technology,Computers,1.153,China,Engineering and Technology,Computers,nan
peng,10.1109/tpami.2016.2552172,3550484,2017,2015,M,59972405,4,6,Engineering and Technology,Computers,4.441,China,Engineering and Technology,Computers,China
zhenyong,10.1109/tpami.2016.2552172,22795773,2017,2017,M,59972405,2,6,Engineering and Technology,Computers,4.441,United Kingdom,Engineering and Technology,Computers,United Kingdom
liwei,10.1109/tpami.2016.2552172,6934595,2017,2005,M,59972405,5,6,Engineering and Technology,Computers,4.441,China,Engineering and Technology,Computers,nan
liwei,10.1007/s10115-015-0897-5,6934595,2016,2005,M,59060976,4,6,Engineering and Technology,Computers,1.361,China,Engineering and Technology,Computers,nan
xin,10.1109/tpami.2016.2552172,46615381,2017,2008,M,59972405,6,6,Engineering and Technology,Computers,4.441,Saudi Arabia,Biology,Miscellaneous Biology,Canada
jo,10.1007/s12529-016-9578-3,44984275,2017,2014,F,59846742,1,3,Psychology,Clinical Psychology,1.775,United Kingdom,Professional Fields,Communication,United Kingdom
john,10.1007/s12529-016-9578-3,14988613,2017,1984,M,59846742,2,3,Psychology,Clinical Psychology,1.775,United Kingdom,Clinical Medicine,Respiratory System,nan
manpreet,10.1007/s12529-016-9578-3,30079100,2017,2009,UNK,59846742,3,3,Psychology,Clinical Psychology,1.775,United Kingdom,Psychology,Miscellaneous Psychology,United Kingdom
xesca,10.1142/s0218001417540040,47963529,2017,2017,nan,59822095,1,3,Engineering and Technology,Computers,0.0,Spain,Engineering and Technology,Computers,Spain
josep,10.1142/s0218001417540040,2796794,2017,1997,M,59822095,3,3,Engineering and Technology,Computers,0.0,Spain,Engineering and Technology,Computers,nan
anna,10.1142/s0218001417540040,26302946,2017,2017,F,59822095,2,3,Engineering and Technology,Computers,0.0,Spain,Engineering and Technology,Computers,Spain
john chung-en,10.1007/s10584-016-1883-y,44573611,2017,2017,M,59811360,1,2,Earth and Space,Meteorology & Atmospheric Science,0.451,United States,Earth and Space,Meteorology & Atmospheric Science,United States
bo,10.1007/s10584-016-1883-y,28186343,2017,2017,M,59811360,2,2,Earth and Space,Meteorology & Atmospheric Science,0.451,United States,Earth and Space,Meteorology & Atmospheric Science,United States
bo,10.1080/00330124.2014.970838,28186052,2015,2015,M,54911061,2,3,Social Sciences,Geography,3.861,United States,Social Sciences,Geography,United States
yasha,10.1007/s11704-016-5550-2,20683547,2017,2017,UNI,59793721,4,5,Engineering and Technology,Computers,0.683,China,Engineering and Technology,Computers,China
daqing,10.1007/s11704-016-5550-2,15130275,2017,2017,M,59793721,5,5,Engineering and Technology,Computers,0.683,China,Engineering and Technology,Computers,China
daqing,10.1145/2677209,15123703,2014,2014,M,53831740,2,5,Engineering and Technology,Computers,0.672,France,Engineering and Technology,Computers,France
daqing,10.1109/tsmc.2013.2256890,15105672,2014,2008,M,52267090,2,6,Engineering and Technology,Electrical Engineering & Electronics,nan,France,Engineering and Technology,Electrical Engineering & Electronics,nan
daqing,10.1007/s00779-013-0656-0,15105672,2014,2008,M,51978783,3,5,Engineering and Technology,Computers,0.269,France,Engineering and Technology,Electrical Engineering & Electronics,nan
paul,10.1177/0047287516636481,9407472,2017,2007,M,59744069,1,4,Professional Fields,Miscellaneous Professional Field,5.058,United Kingdom,Professional Fields,Management,nan
krystin,10.1177/0047287516636481,48874960,2017,2015,F,59744069,3,4,Professional Fields,Miscellaneous Professional Field,5.058,United Kingdom,Professional Fields,Miscellaneous Professional Field,United Kingdom
james t.,10.1080/17524032.2015.1047887,31251274,2017,2009,M,59697552,1,5,Professional Fields,Communication,4.007,United States,Engineering and Technology,Materials Science,nan
sharon,10.1080/17524032.2015.1047887,41398522,2017,1981,F,59697552,5,5,Professional Fields,Communication,4.007,United States,Professional Fields,Communication,nan
ana luisa b. t.,10.1007/s00737-016-0650-4,7038831,2017,2017,F,59682193,1,4,Clinical Medicine,Psychiatry,0.0,United States,Clinical Medicine,Psychiatry,United States
linda c.,10.1007/s00737-016-0650-4,36057685,2017,1980,F,59682193,3,4,Clinical Medicine,Psychiatry,0.0,United States,Clinical Medicine,Pediatrics,nan
megan v.,10.1007/s00737-016-0650-4,4208681,2017,2009,F,59682193,4,4,Clinical Medicine,Psychiatry,0.0,United States,Clinical Medicine,Psychiatry,United States
jennifer,10.1017/s0003055416000666,22043020,2017,2017,F,59965618,1,1,Social Sciences,Political Science and Public Administration,0.0,United States,Social Sciences,Political Science and Public Administration,United States
kaidy,10.1136/bmjopen-2016-015493,41896770,2017,2013,nan,60170333,1,4,Clinical Medicine,General & Internal Medicine,0.264,United Kingdom,Psychology,Clinical Psychology,United Kingdom
giacomo,10.1136/bmjopen-2016-015493,28982611,2017,2016,M,60170333,2,4,Clinical Medicine,General & Internal Medicine,0.264,United Kingdom,Psychology,Clinical Psychology,United Kingdom
gareth j.,10.1136/bmjopen-2016-015493,51198620,2017,2008,M,60170333,3,4,Clinical Medicine,General & Internal Medicine,0.264,United Kingdom,Psychology,Miscellaneous Psychology,United Kingdom
theresa m.,10.1136/bmjopen-2016-015493,11638045,2017,1984,F,60170333,4,4,Clinical Medicine,General & Internal Medicine,0.264,United Kingdom,Clinical Medicine,Pediatrics,nan
shuyuan,10.1016/j.dss.2016.11.001,37291239,2017,2017,F,59797598,1,3,Professional Fields,Management,4.564,United States,Professional Fields,Management,United States
atish p.,10.1016/j.dss.2016.11.001,23622650,2017,1992,UNK,59797598,2,3,Professional Fields,Management,4.564,United States,Engineering and Technology,Computers,nan
huimin,10.1016/j.dss.2016.11.001,10408964,2017,2004,F,59797598,3,3,Professional Fields,Management,4.564,United States,Engineering and Technology,Electrical Engineering & Electronics,nan
huimin,10.1016/j.elerap.2016.07.002,10427901,2016,2016,F,59471758,3,3,Professional Fields,Management,0.207,United States,Professional Fields,Management,United States
chao,10.1016/j.dss.2016.11.002,34204436,2017,2017,M,59797599,1,4,Professional Fields,Management,1.901,China,Professional Fields,Management,China
hsing kenneth,10.1016/j.dss.2016.11.002,41065631,2017,2000,M,59797599,2,4,Professional Fields,Management,1.901,United States,Professional Fields,Management,nan
yang,10.1016/j.dss.2016.11.002,43443391,2017,2017,M,59797599,3,4,Professional Fields,Management,1.901,China,Professional Fields,Management,China
yong,10.1016/j.dss.2016.11.002,29480892,2017,2017,M,59797599,4,4,Professional Fields,Management,1.901,China,Professional Fields,Management,China
jiahuan,10.1007/s10664-016-9436-6,29059319,2017,2017,UNK,59688709,3,6,Engineering and Technology,Computers,1.708,China,Engineering and Technology,Computers,China
li,10.1007/s10664-016-9436-6,49395777,2017,2004,F,59688709,6,6,Engineering and Technology,Computers,1.708,China,Engineering and Technology,Computers,nan
li,10.1109/tcsvt.2014.2319671,49397249,2014,2014,F,53536476,2,4,Engineering and Technology,Electrical Engineering & Electronics,1.008,Singapore,Engineering and Technology,Computers,Singapore
li,10.1016/j.imavis.2013.12.005,49397249,2014,2014,F,53243122,1,6,Engineering and Technology,Computers,0.134,Singapore,Engineering and Technology,Computers,Singapore
pavneet singh,10.1007/s10664-016-9436-6,17299925,2017,2017,UNK,59688709,5,6,Engineering and Technology,Computers,1.708,Singapore,Engineering and Technology,Computers,Singapore
xin,10.1007/s10664-016-9436-6,36780232,2017,2014,M,59688709,4,6,Engineering and Technology,Computers,1.708,China,Engineering and Technology,Computers,China
tomasz,10.1016/j.future.2016.04.009,43595209,2017,2010,M,59475442,1,2,Engineering and Technology,Computers,0.342,Poland,Engineering and Technology,Electrical Engineering & Electronics,Poland
marek r.,10.1016/j.future.2016.04.009,46477361,2017,1999,M,59475442,2,2,Engineering and Technology,Computers,0.342,Poland,Clinical Medicine,Radiology & Nuclear Medicine,nan
sarah,10.1111/hex.12439,30641811,2017,2007,F,60102367,1,5,Health,Health Policy & Services,1.595,United Kingdom,Health,Public Health,nan
steven,10.1111/hex.12439,25704204,2017,2007,M,60102367,5,5,Health,Health Policy & Services,1.595,United Kingdom,Psychology,Clinical Psychology,nan
roger,10.1111/hex.12439,35044789,2017,2013,M,60102367,4,5,Health,Health Policy & Services,1.595,United Kingdom,Social Sciences,General Social Sciences,nan
ana,10.1016/j.adolescence.2016.12.002,15898160,2017,2011,F,59872145,1,4,Psychology,Developmental & Child Psychology,2.799,United States,Clinical Medicine,Pediatrics,nan
theresa,10.1016/j.adolescence.2016.12.002,12014895,2017,2016,F,59872145,2,4,Psychology,Developmental & Child Psychology,2.799,United States,Clinical Medicine,Pediatrics,United States
bradley d.,10.1016/j.adolescence.2016.12.002,12341116,2017,1999,M,59872145,3,4,Psychology,Developmental & Child Psychology,2.799,United States,Health,Health Policy & Services,nan
margherita,10.1016/j.intmar.2016.10.001,9870561,2017,2006,F,59874027,1,2,Professional Fields,Management,2.282,France,Professional Fields,Management,nan
giovanni,10.1016/j.intmar.2016.10.001,27092375,2017,2017,M,59874027,2,2,Professional Fields,Management,2.282,Italy,Professional Fields,Management,Italy
radim,10.1080/1461670x.2015.1046995,24445966,2017,2017,M,59813673,1,2,Professional Fields,Communication,2.671,Czech Republic,Professional Fields,Communication,Czech Republic
chenyi,10.1007/s11042-016-4034-6,39185862,2017,2017,M,60093812,1,3,Engineering and Technology,Electrical Engineering & Electronics,0.306,Japan,Engineering and Technology,Electrical Engineering & Electronics,Japan
qiang,10.1007/s11042-016-4034-6,35348254,2017,2011,M,60093812,2,3,Engineering and Technology,Electrical Engineering & Electronics,0.306,Japan,Engineering and Technology,Computers,Japan
masatoshi,10.1007/s11042-016-4034-6,21073415,2017,2009,M,60093812,3,3,Engineering and Technology,Electrical Engineering & Electronics,0.306,Japan,Engineering and Technology,Computers,Japan
jiafan,10.1007/s00779-016-0977-x,16894461,2017,2017,UNK,59813625,3,5,Engineering and Technology,Computers,0.342,China,Engineering and Technology,Computers,China
xingshe,10.1007/s00779-016-0977-x,11885705,2017,2017,UNK,59813625,5,5,Engineering and Technology,Computers,0.342,China,Engineering and Technology,Computers,China
xingshe,10.1109/tsmc.2013.2256890,11859903,2014,2002,UNK,52267090,3,6,Engineering and Technology,Electrical Engineering & Electronics,nan,China,Engineering and Technology,Computers,nan
xingshe,10.1007/s00779-013-0656-0,11859903,2014,2002,UNK,51978783,2,5,Engineering and Technology,Computers,0.269,China,Engineering and Technology,Computers,nan
yaffa,10.1080/10410236.2015.1110224,19910485,2017,2015,F,59558492,3,3,Health,Health Policy & Services,0.798,Israel,Clinical Medicine,Immunology,Israel
nathan,10.1080/10410236.2015.1110224,31264938,2017,2014,M,59558492,2,3,Health,Health Policy & Services,0.798,United States,Clinical Medicine,Immunology,Israel
emilee,10.1016/j.ijhcs.2016.10.005,1028625,2017,2017,F,59564296,1,1,Psychology,Human Factors,1.039,United States,Psychology,Human Factors,United States
pamela j.,10.1016/j.ijhcs.2016.09.006,44213371,2017,2017,F,59564298,1,3,Psychology,Human Factors,2.77,United States,Psychology,Human Factors,United States
bart p.,10.1016/j.ijhcs.2016.09.006,40072148,2017,2012,M,59564298,2,3,Psychology,Human Factors,2.77,United States,Engineering and Technology,Computers,United States
heather richter,10.1016/j.ijhcs.2016.09.006,3376140,2017,2008,F,59564298,3,3,Psychology,Human Factors,2.77,United States,Engineering and Technology,Computers,United States
